NOME;INSTITUICAO_ENSINO_ALUNO_2020;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_AVAL_1_2021;REC_AVAL_2_2021;REC_AVAL_3_2021;REC_AVAL_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;FASE_2022;TURMA_2022;ANO_INGRESSO_2022;BOLSISTA_2022;INDE_2022;CG_2022;CF_2022;CT_2022;PEDRA_2022;DESTAQUE_IEG_2022;DESTAQUE_IDA_2022;DESTAQUE_IPV_2022;IAA_2022;IEG_2022;IPS_2022;IDA_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;IPP_2022;REC_AVAL_1_2022;REC_AVAL_2_2022;REC_AVAL_3_2022;REC_AVAL_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;IPV_2022;IAN_2022;NIVEL_IDEAL_2022
ALUNO-158;Escola Pública;14;2;3E;Não;6,06;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9,17;5.9;3.75;5;7,71;6,61;5;4.0;F;Escola Pública;Veterano;Ágata;6.056;8.3;6.1;6.9;4.5;6.9;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;6.1;5.0;Nível 5 (1o EM);-1.0;4.0;F;2018.0;Não;5,62;772.0;69.0;14.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8,33;4,75;5.0;4,11;3,67;5,17;3,5;4.0;7,19;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;Não;6,5;5.0;Fase 6 (2º EM)
ALUNO-159;;;;;;0;;;;;;0;;;0;0;0;;0.0;O;Escola Pública;Ingressante;Ametista;8.025;9.0;10.0;7.5;6.1;8.1;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Sim;9.3;5.0;Nível 1 (4o ano);-1.0;0.0;J;2021.0;Não;7,48;316.0;92.0;4.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;8,97;5.625;7,25;7,83;6,67;0;2.0;5,63;Promovido de Fase;Promovido de Fase;;;Não;Sim;8,58;5.0;Fase 2 (5º e 6º ano)
ALUNO-160;Escola Pública;10;2;1H;Não;4,48;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8;2.3;5;0;7,29;7,44;5;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-161;Estácio;18;4;8A;;8,89;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;7,92;10;7.5;9;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-162;Escola Pública;10;2;1B;Não;7,95;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8,5;8.8;7.5;8,5;8,44;7,75;5;1.0;B;Escola Pública;Veterano;Ametista;7.531;8.5;10.0;7.5;6.6;7.5;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;6.8;5.0;Nível 2 (5o e 6o ano);-1.0;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-163;Escola Pública;12;3;1G;Não;6,44;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7,5;8.2;5;6,25;2,5;7,75;5;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-164;Escola Pública;10;1;1D;Não;7,71;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9,5;8.7;7.5;7,5;7,19;7,75;5;2.0;C;Escola Pública;Veterano;Ametista;7.125;9.5;5.8;7.5;5.9;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.7;10.0;Nível 2 (5o e 6o ano);0.0;2.0;B;2019.0;Não;6,84;544.0;84.0;10.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,5;7,3;7.5;5,75;5,33;6,17;0;3.0;6,04;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7,61;5.0;Fase 3 (7º e 8º ano)
ALUNO-165;Escola Pública;11;1;0G;Não;8,43;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9;10;7.5;1;7,81;7,5;5;1.0;R;Escola Pública;Veterano;Ametista;7.579;10.0;7.5;7.5;7.3;8.3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7.7;5.0;Nível 3 (7o e 8o ano);-2.0;1.0;R;2019.0;Não;8,18;90.0;20.0;1.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,5;9,85;8.125;8,42;8,83;8;0;3.0;6,88;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;;Sim;Sim;8,39;5.0;Fase 3 (7º e 8º ano)
ALUNO-166;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;1.0;F;2022.0;Não;6,64;612.0;147.0;7.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9,5;9,04;4.375;4,75;2,5;7;0;2.0;5,63;Mantido na Fase atual;Promovido de Fase;;;Não;Não;7,17;5.0;Fase 2 (5º e 6º ano)
ALUNO-167;;;;;;0;;;;;;0;;;0;0;0;;1.0;A;Escola Pública;Ingressante;Ametista;7.639;10.0;9.2;7.5;5.8;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.3;5.0;Nível 2 (5o e 6o ano);-1.0;2.0;A;2021.0;Não;6,99;491.0;72.0;7.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8,5;8,83;7.5;2,75;2,33;3,17;0;3.0;6,04;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7,33;10.0;Fase 2 (5º e 6º ano)
ALUNO-168;Escola Pública;11;1;1J;Não;8,08;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;1;8.8;7.5;8,5;7,5;8,11;5;2.0;R;Escola Pública;Veterano;Quartzo;3.524;0.0;1.7;5.6;2.5;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4.4;5.0;Nível 3 (7o e 8o ano);-1.0;2.0;Q;2019.0;Não;6,43;654.0;117.0;9.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;6;6.25;6,13;3,1;9,17;0;3.0;6,04;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;;Não;Não;6,89;5.0;Fase 3 (7º e 8º ano)
ALUNO-169;Escola Pública;8;0;0E;Não;7,8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9;10;5;1;2,5;5,75;10;0.0;I;Escola Pública;Veterano;Ametista;6.898;8.5;10.0;4.4;6.1;5.3;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.8;5.0;Nível 1 (4o ano);-1.0;0.0;G;2020.0;Não;7,28;398.0;116.0;5.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9,5;8,95;5.0;6,92;7;6,83;0;2.0;5,63;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;8;5.0;Fase 2 (5º e 6º ano)
ALUNO-170;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;1.0;N;2022.0;Não;7,52;300.0;79.0;4.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,5;8,96;7.5;8,25;9,33;7,17;0;3.0;6,04;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7,39;5.0;Fase 3 (7º e 8º ano)
ALUNO-171;;;;;;0;;;;;;0;;;0;0;0;;3.0;A;Escola Pública;Ingressante;Ametista;8.036;8.8;8.9;7.5;7.5;8.3;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não avaliado;Sim;9.0;5.0;Nível 4 (9o ano);-1.0;4.0;A;2021.0;Não;7,3;387.0;31.0;8.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7,92;8,26;7.5;7,63;7,17;6,5;9,23;4.0;7,19;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Sim;Não;6,83;5.0;Fase 5 (1º EM)
ALUNO-172;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;1.0;B;2022.0;Não;6,41;661.0;159.0;13.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,42;8,32;5.0;5,75;6,33;5,17;0;3.0;5,63;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;;Não;Não;6,94;5.0;Fase 2 (5º e 6º ano)
ALUNO-173;Escola Pública;16;4;5G;Não;3,74;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7,92;0.9;3.125;2,83;5,63;4,13;5;5.0;F;Escola Pública;Veterano;Ágata;6.532;9.6;6.7;5.0;4.9;7.7;Mantido na Fase atual;Mantido na Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;Não;7.5;5.0;Nível 7 (3o EM);-2.0;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-174;Einstein;15;3;5X;;7,92;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9,17;10;5.625;7,2;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-175;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;4.0;H;2022.0;Não;7,54;293.0;24.0;4.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8,33;7,68;7.5;6,11;5,83;4,83;7,67;4.0;7,5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;Não;7,25;10.0;Fase 4 (9º ano)
ALUNO-176;;;;;;0;;;;;;0;;;0;0;0;;2.0;I;Escola Pública;Veterano;Ágata;5.674;7.5;6.3;5.0;4.3;6.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.7;5.0;Nível 3 (7o e 8o ano);-1.0;3.0;G;2017.0;Não;5,1;816.0;125.0;10.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,67;7,39;5.0;2,89;2,33;4,17;2,17;4.0;5,16;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Alocado em Fase anterior;Não;Não;4,29;5.0;Fase 4 (9º ano)
ALUNO-177;;;;;;0;;;;;;0;;;0;0;0;;0.0;L;Escola Pública;Ingressante;Ametista;7.196;9.0;8.3;7.5;4.6;6.9;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.3;10.0;ALFA  (2o e 3o ano);0.0;0.0;R;2021.0;Não;8,28;65.0;16.0;2.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9,5;8,96;7.5;8,78;8,67;8,9;0;2.0;5,63;Promovido de Fase;Mantido na Fase atual;;;Não;Não;7,33;10.0;ALFA  (2º e 3º ano)
ALUNO-178;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0.0;O;2022.0;Não;7,21;426.0;127.0;9.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8,5;9,55;7.5;3,42;4,17;2,67;0;2.0;5,63;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7,25;10.0;ALFA  (2º e 3º ano)
ALUNO-179;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;2.0;M;2022.0;Não;7,68;238.0;38.0;2.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;6,83;8,7;7.5;9,5;1;9;0;3.0;6,88;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7,11;5.0;Fase 3 (7º e 8º ano)
ALUNO-180;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0.0;G;2022.0;Não;6,04;721.0;178.0;11.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;7,92;6.25;3,5;4;3;0;2.0;5,31;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;6;5.0;Fase 1 (4º ano)
ALUNO-181;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0.0;L;2022.0;Não;7,91;166.0;45.0;5.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;9,11;7.5;8,08;8;8,17;0;2.0;6,56;Promovido de Fase;Promovido de Fase;;;Não;Não;8,33;5.0;Fase 1 (4º ano)
ALUNO-182;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0.0;S;2022.0;Não;7,09;459.0;134.0;6.0;Ametista;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9,5;6,52;6.875;6;6,67;5,33;0;2.0;4,69;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7,42;10.0;ALFA  (2º e 3º ano)
ALUNO-183;Escola Pública;11;2;0E;Não;7,86;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9;10;8.125;1;2,5;7;5;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-184;Escola Pública;9;2;1H;Não;8,26;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;1;8.3;7.5;7,5;7,92;7,78;10;2.0;I;Escola Pública;Ingressante;Ametista;7.896;8.5;9.2;7.5;5.6;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.0;10.0;Nível 2 (5o e 6o ano);0.0;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-185;;;;;;0;;;;;;0;;;0;0;0;;0.0;M;Escola Pública;Ingressante;Ametista;7.906;8.0;10.0;7.5;5.4;7.2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.8;10.0;ALFA  (2o e 3o ano);0.0;0.0;A;2021.0;Não;7,62;269.0;75.0;4.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8,5;8,24;8.125;8,8;8,83;8,77;0;2.0;5,63;Promovido de Fase;Mantido na Fase atual;;;Não;Não;7,42;5.0;Fase 1 (4º ano)
ALUNO-186;Escola Pública;16;0;3J;Não;6,31;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8,75;5.8;7.5;5,67;8,13;6,67;2.5;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-187;Escola Pública;10;0;2G;Não;6,41;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8,5;8;7.5;0;7,92;7,11;10;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-188;Escola Pública;13;2;3C;Sim;7,74;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7,08;4.7;7.5;9;8,13;8,67;10;3.0;C;Escola Pública;Veterano;Ágata;6.435;7.1;5.8;7.5;4.7;8.1;Promovido de Fase;Promovido de Fase + Bolsa;Mantido na Fase atual;Não avaliado;Não;7.8;5.0;Nível 4 (9o ano);-1.0;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-189;Escola Pública;10;0;1C;Não;7,26;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8;8.3;5;8;7,29;7,33;5;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-190;Rede Decisão/União;17;3;7B;Sim;8,73;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8,33;9.2;6.875;7,67;9,06;9,67;10;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-191;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;1.0;A;2022.0;Não;6,71;587.0;144.0;11.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9,5;8,72;5.0;6,5;8;5;0;3.0;4,38;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;6,39;5.0;Fase 2 (5º e 6º ano)
ALUNO-192;Escola Pública;11;2;1H;Não;4,85;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7,42;5.1;5;0;6,04;7,44;5;;;;;;;;;;;;;;;;;;;;;2.0;I;2022.0;Não;6,72;581.0;95.0;7.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8,5;8,1;7.5;5;5;5;0;3.0;6,46;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;6,78;5.0;Fase 3 (7º e 8º ano)
ALUNO-193;Escola Pública;13;4;3F;Sim;8,54;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;1;9.8;5;7;8,13;9,33;10;3.0;F;Escola Pública;Veterano;Ametista;8.215;9.2;10.0;5.6;7.7;7.9;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;Não avaliado;Sim;9.6;5.0;Nível 4 (9o ano);-1.0;4.0;F;2016.0;Não;7,17;440.0;35.0;7.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8,75;9,04;5.625;5,57;6;6,5;4,2;4.0;7,66;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Sim;Não;7,75;5.0;Fase 5 (1º EM)
ALUNO-194;Rede Decisão/União;17;3;6A;Não;7,12;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8,33;8.3;6.875;6,33;7,66;7,04;5;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-195;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;2.0;U;2022.0;Não;6,75;570.0;91.0;7.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,5;8,05;7.5;4,83;2,67;7;0;3.0;6,25;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7,72;5.0;Fase 3 (7º e 8º ano)
ALUNO-196;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;3.0;K;2022.0;Não;7,25;411.0;50.0;8.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9,17;8,54;5.625;7,06;6,33;6,5;8,33;4.0;7,66;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Mantido na Fase + Bolsa;Sim;Não;6,96;5.0;Fase 5 (1º EM)
ALUNO-197;Escola Pública;12;1;3F;Não;8,83;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8,33;9.6;7.5;8,67;8,96;8,5;10;3.0;G;Rede Decisão;Veterano;Ametista;7.751;8.3;7.2;7.5;6.0;8.1;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.6;10.0;Nível 3 (7o e 8o ano);0.0;4.0;F;2019.0;Sim;8,35;53.0;5.0;2.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;1;8,75;5.625;7,69;6,5;7,5;9,07;4.0;8,13;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Promovido de Fase + Bolsa;Não;Sim;8,46;10.0;Fase 4 (9º ano)
ALUNO-198;Escola Pública;16;3;6A;Não;5,52;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;0;6.1;5.625;4,5;5,78;6,29;10;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-199;Escola Pública;14;1;3C;Não;6,66;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;6,25;4.8;7.5;7,67;8,13;7,39;5;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-200;Escola Pública;13;4;4F;Não;7,36;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7,92;5.8;7.5;5,67;8,13;8,54;10;4.0;F;Escola Pública;Veterano;Quartzo;4.788;7.5;1.7;6.9;3.3;6.7;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;3.5;10.0;Nível 4 (9o ano);0.0;4.0;F;2016.0;Não;6,87;530.0;45.0;10.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;7,92;7,1;7.5;5,61;4,67;7,17;5;4.0;7,66;Promovido de Fase;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não;Não;7,63;5.0;Fase 5 (1º EM)
